"shapeid","x","y"
"21.0","293881.57982","93858.06171"
"21.0","293862.759","93869.119"
"21.0","293861.77101899893","93869.28012274812"
"22.0","291119.0","94104.0"
"22.0","291116.0","94029.0"
"22.0","291123.2491635408","93996.15222770593"
"23.0","291182.4398260985","93651.79063508433"
"23.0","291209.388","93556.63"
"24.0","291172.2987376079","93705.52996170761"
"24.0","291177.0","93671.0"
"24.0","291182.4398260985","93651.79063508433"
"25.0","291123.2491635408","93996.15222770593"
"25.0","291148.0","93884.0"
"25.0","291172.2987376079","93705.52996170761"
"26.0","290529.0","94762.897"
"26.0","290522.0","94880.0"
"26.0","290497.54","94954.51699999999"
"26.0","290500.31053375336","94974.28061492846"
"27.0","291875.798","94911.283"
"27.0","292068.0","94917.0"
"27.0","292156.09551752993","94912.77985544766"
"28.0","292156.09551752993","94912.77985544766"
"28.0","292235.0","94909.0"
"28.0","292281.0","94893.0"
"28.0","292397.0","94805.0"
"29.0","293456.0","94888.0"
"29.0","293476.0","94952.0"
"29.0","293477.297287529","94953.94593129349"
"30.0","293477.297287529","94953.94593129349"
"30.0","293490.85374328564","94974.28061492846"
"31.0","294590.0698144272","91168.77060841165"
"31.0","294746.0","91248.0"
"31.0","294787.9460599493","91265.32554650078"
"31.1","294947.8093050869","91291.73755932022"
"31.1","294964.0","91278.0"
"31.1","294989.9848017191","91262.40911896856"
"32.0","294434.3980884186","91520.07411751377"
"32.0","294462.0","91500.0"
"32.0","294491.0","91487.0"
"32.0","294500.0622295332","91477.93777046679"
"32.1","294505.1676541198","91471.32345880204"
"32.1","294507.0","91453.0"
"32.1","294442.0","91374.0"
"32.1","294362.0","91320.0"
"32.1","294322.0","91236.0"
"32.1","294423.0","91175.0"
"32.1","294501.0","91117.0"
"32.1","294561.0","91154.0"
"32.1","294590.0698144272","91168.77060841165"
"33.0","294787.9460599493","91265.32554650078"
"33.0","294884.0","91305.0"
"33.0","294931.0","91306.0"
"33.0","294947.8093050869","91291.73755932022"
"34.0","294407.0","91540.0"
"34.0","294434.3980884186","91520.07411751377"
"35.0","294500.0622295332","91477.93777046679"
"35.0","294505.0","91473.0"
"35.0","294505.1676541198","91471.32345880204"
"36.0","290648.30880580767","90546.57842574356"
"36.0","290696.25","90517.75"
"36.0","290779.09547","90456.11138"
"36.0","290803.0848","90437.98546"
"37.0","290021.7176661502","90756.95817239952"
"37.0","290187.21283","90712.23699"
"37.0","290189.55916","90711.60294"
"37.0","290405.5","90653.25"
"37.0","290500.0","90619.5"
"37.0","290554.68450962583","90593.96549757142"
"38.0","290554.68450962583","90593.96549757142"
"38.0","290621.0","90563.0"
"38.0","290648.30880580767","90546.57842574356"
"39.0","293895.10974297294","93678.55661915899"
"39.0","293865.042","93680.174"
"39.0","293775.65","93671.561"
"39.0","293779.563","93651.092"
"40.0","294184.171","93708.342"
"40.0","294086.554","93700.888"
