"shapeid","x","y","best_server"
"2409.0","291662.0","91750.0","17"
"2409.0","291662.0","91751.0","17"
"2409.0","291662.0","91779.803","21"
"2410.0","291909.78437816753","91942.05808389417","9"
"2410.0","291885.467","91932.528","9"
"2411.0","291923.734","91947.525","9"
"2411.0","291909.78437816753","91942.05808389417","9"
"2412.0","291813.563","91889.702","14"
"2412.0","291777.742","91884.812","10"
"2413.0","291756.776","91830.091","10"
"2413.0","291784.0","91835.0","10"
"2414.0","291792.0","91749.0","10"
"2414.0","291790.0","91785.0","10"
"2415.0","291788.9","91795.803","10"
"2415.0","291784.0","91835.0","10"
"2416.0","291762.992","91781.624","10"
"2416.0","291757.3530264027","91780.91912830033","10"
"2417.0","291757.3530264027","91780.91912830033","10"
"2417.0","291726.0","91777.0","10"
"2418.0","291762.992","91781.624","10"
"2418.0","291756.776","91830.091","10"
"2419.0","291821.0","91606.0","8"
"2419.0","291789.632","91612.604","8"
"2564.0","291764.0","91618.0","17"
"2564.0","291739.409","91629.895","17"
"2565.0","291831.4213845386","91870.76800622183","14"
"2565.0","291813.563","91889.702","14"
"2566.0","291855.054","91845.712","14"
"2566.0","291831.4213845386","91870.76800622183","14"
"2620.0","291864.221","91886.374","14"
"2620.0","291880.471","91861.374","14"
"2620.0","291860.57","91849.11097","14"
"2620.0","291855.054","91845.712","14"
"2621.0","291905.966","91886.493","9"
"2621.0","291885.467","91932.528","9"
"2622.0","291966.961","91885.726","9"
"2622.0","291923.734","91947.525","9"
"2623.0","291842.2157054745","91836.23401878668","14"
"2623.0","291819.198","91819.241","14"
"2624.0","291855.054","91845.712","14"
"2624.0","291842.2157054745","91836.23401878668","14"
"2625.0","291984.0","91648.0","5"
"2625.0","291986.0","91685.0","5"
"2625.0","291978.0","91694.0","5"
"2626.0","291864.0","91596.0","8"
"2626.0","291821.0","91606.0","8"
"2627.0","291915.0","91583.0","8"
"2627.0","291878.0","91592.0","8"
"2628.0","291796.53280530265","91642.36058550562","8"
"2628.0","291796.02","91642.469","8"
"2629.0","291827.366","91635.842","8"
"2629.0","291796.53280530265","91642.36058550562","8"
"2631.0","291660.0","91871.0","22"
"2631.0","291649.92492","91915.88278","22"
"2632.0","291992.0","91721.0","5"
"2632.1","291984.27575159684","91727.95182356283","5"
"2632.1","291992.0","91721.0","5"
"2633.0","291984.0","91744.0","5"
"2633.0","291982.0","91730.0","5"
"2633.0","291984.27575159684","91727.95182356283","5"
"2637.0","291660.738","91996.326","22"
"2637.0","291686.0","91972.0","22"
"2637.0","291684.0","91962.0","22"
"2637.0","291679.0","91938.0","22"
"2666.0","291884.674","91622.449","8"
"2666.0","291856.065","91629.135","8"
"2719.0","291582.38","91564.365","20"
"2719.0","291557.744","91571.335","20"
"2719.0","291560.72000000003","91586.362","20"
"2720.0","291135.0","91939.0",""
"2720.0","291191.0","91974.0",""
"2721.0","291191.0","91974.0",""
"2722.0","291124.0","91987.0",""
"2723.0","291256.313","91979.364","15"
"2724.0","291047.0","91732.0","4"
"2724.0","291100.94104644895","91762.17490074661","4"
"2725.0","291100.94104644895","91762.17490074661","4"
"2725.0","291105.505","91764.728","4"
"2726.0","291089.0","91803.0","4"
"2726.0","291109.0","91767.0","4"
"2733.0","291069.542","91870.35800000001","4"
"2733.0","291089.0","91803.0","4"
"2734.0","291082.84435776714","91801.29009937977","4"
"2734.0","291053.0","91793.0","4"
"2734.0","291058.684","91773.949","4"
"2735.0","291089.0","91803.0","4"
"2735.0","291082.84435776714","91801.29009937977","4"
"2736.0","291334.0","91921.0","15"
"2736.0","291369.0","91872.0","11"
"2992.0","291589.92650186986","91198.01040960632","13"
"2992.0","291597.0","91192.0","13"
"2993.0","291550.73","91231.316","13"
"2993.0","291589.92650186986","91198.01040960632","13"
"2994.0","291495.0","91110.0","1"
"2994.0","291454.0","91115.0","1"
"2995.0","291454.0","91115.0","1"
"2995.0","291456.541","91155.411","1"
"2999.0","291254.199","91006.232","1"
"2999.0","291230.544","91007.334","1"
"3002.0","291519.48682","91016.9976","1"
"3002.0","291500.20053","91074.36075","1"
"3003.0","291009.519","91160.723",""
"3003.0","291027.468","91128.804",""
"3003.0","291015.033","91124.46",""
"3003.0","291004.24597","91129.67016",""
"3004.0","291520.0","91278.0","1"
"3004.0","291508.0","91283.0","1"
"3004.0","291500.0","91249.0","1"
"3004.0","291512.0","91246.0","1"
"3005.0","291544.0","91020.0","1"
"3005.0","291525.0","91018.0","1"
"3005.0","291519.48682","91016.9976","1"
"3092.0","291273.111","91375.98","6"
"3092.0","291236.621","91388.441","6"
"3093.0","291273.111","91375.98","6"
"3093.0","291258.0","91329.0","6"
"3094.0","291129.0","91020.0","19"
"3102.0","291530.0","91316.0","1"
"3102.0","291520.0","91278.0","1"
"3211.0","291756.776","91830.091","10"
"3211.0","291754.0183303802","91843.37930509023","10"
"3212.0","291754.0183303802","91843.37930509023","10"
"3212.0","291752.695","91849.756","10"
"3212.0","291727.951","91851.566","10"
"3213.0","291788.9","91795.803","10"
"3213.0","291813.971","91798.374","10"
"3213.0","291815.471","91816.374","10"
"3214.0","291790.0","91785.0","10"
"3214.0","291762.992","91781.624","10"
"3215.0","291758.97292380966","91750.5778085109","10"
"3215.0","291766.939","91750.536","10"
"3215.0","291762.992","91781.624","10"
"3216.0","291743.884","91750.657","10"
"3216.0","291758.97292380966","91750.5778085109","10"
"3217.0","291978.0","91694.0","5"
"3217.0","291953.872","91690.74","5"
"3218.0","291906.763","91547.937","8"
"3218.0","291915.0","91583.0","8"
"3219.0","291796.02","91642.469","8"
"3219.0","291795.44370044995","91639.77470036599","8"
"3220.0","291795.44370044995","91639.77470036599","8"
"3220.0","291789.632","91612.604","8"
"3221.0","291827.366","91635.842","8"
"3221.0","291821.0","91606.0","8"
"3222.0","291784.4588146712","91613.69304915864","8"
"3222.0","291764.0","91618.0","17"
"3223.0","291789.632","91612.604","8"
"3223.0","291784.4588146712","91613.69304915864","8"
"3224.0","291649.92492","91915.88278","22"
"3224.0","291671.033","91937.276","22"
"3225.0","291644.36843","91930.28821","22"
"3225.0","291635.34586","91953.67959","22"
"3226.0","291978.0","91694.0","5"
"3226.0","291982.734","91700.432","5"
"3226.0","291992.0","91721.0","5"
"3227.0","291671.033","91937.276","22"
"3227.0","291649.0","91932.0","22"
"3227.0","291644.6893","91929.45634","22"
"3295.0","291694.935","91041.643","0"
"3295.0","291685.017","91039.738","0"
"3295.0","291670.428","91036.074","0"
"3295.0","291644.0","91027.0","1"
"3308.0","291008.172","91405.573",""
"3308.0","291018.863","91406.337",""
"3308.0","291033.023","91407.349",""
"3309.0","291226.553","91505.141","23"
"3309.0","291250.566","91517.284","23"
"3309.0","291260.062","91513.287","23"
"3309.0","291261.141","91503.215","23"
"3309.0","291236.03","91495.243","23"
"3310.0","291423.359","91568.545","20"
"3310.0","291451.925","91560.098","20"
"3310.0","291459.158","91574.876","20"
"3346.0","291982.061","91324.488","18"
"3446.0","291500.20053","91074.36075","1"
"3446.0","291495.0","91089.0","1"
"3503.0","291512.0","91246.0","1"
"3503.0","291506.0","91210.0","1"
"3504.0","291495.0","91106.08304635248","1"
"3504.0","291495.0","91089.0","1"
"3505.0","291495.0","91110.0","1"
"3505.0","291495.0","91106.08304635248","1"
"3507.0","291544.0","91020.0","1"
"3515.0","291442.0","91899.0","11"
"3515.0","291411.0","91881.0","11"
"3516.0","291230.0","91571.0","23"
"3516.0","291210.0","91561.0","23"
"3517.0","291482.296","91975.581","22"
"3517.0","291474.0","91996.63","22"
"3624.0","291790.0","91785.0","10"
"3624.0","291788.9","91795.803","10"
"3625.0","291878.0","91592.0","8"
"3625.0","291864.0","91596.0","8"
"3626.0","291649.92492","91915.88278","22"
"3626.0","291644.6893","91929.45634","22"
"3640.0","291565.0","91436.0","1"
"3640.0","291560.0","91422.0","1"
"3669.0","291644.6893","91929.45634","22"
"3669.0","291644.36843","91930.28821","22"
"3677.0","291241.411","91661.407","3"
"3677.0","291236.772","91656.119","3"
